BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/15/2017,AP,E0496019,CITIBANK GOV CARD SERVICE,1/24/2017,1/26/2017,CAR RENTAL,222.04,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MAJORITY WHIP,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/23/2017,AP,E0489772,HORTON BRETT H.,12/14/2016,12/29/2016,CAR RENTAL,639.14,2016,HORTON BRETT H.
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/16/2017,AP,E0488339,CARRILLO MANUEL J.,2/6/2017,2/10/2017,CAR RENTAL,1383.03,2017,CARRILLO MANUEL J.
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/17/2017,AP,E0488705,BACKEMEYER COURTNEY G.,2/6/2017,2/10/2017,CAR RENTAL,608.52,2017,BACKEMEYER COURTNEY G.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,2/22/2017,AP,E0489205,SWAN CAROL,2/7/2017,2/10/2017,CAR RENTAL,158.34,2017,SWAN CAROL
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,3/20/2017,AP,907732,COWARD DORIAN A.,3/2/2017,3/6/2017,CAR RENTAL,197.82,2017,COWARD DORIAN A.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,2/27/2017,AP,904142,MILLER DENNIS E.,1/31/2017,2/2/2017,CAR RENTAL,300.48,2017,MILLER DENNIS E.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0494334,CITIBANK GOV CARD SERVICE,1/8/2017,1/8/2017,CAR RENTAL,288.54,2017,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0494335,BARRON PATRICK C.,2/22/2017,2/24/2017,CAR RENTAL,203.29,2017,BARRON PATRICK C.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/20/2017,AP,E0497096,CITIBANK GOV CARD SERVICE,1/23/2017,1/23/2017,CAR RENTAL,223.34,2017,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499199,VERRILL EDWARD B,2/22/2017,2/24/2017,CAR RENTAL,150.48,2017,VERRILL EDWARD B
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0489160,CITIBANK GOV CARD SERVICE,1/9/2017,1/10/2017,CAR RENTAL,106.07,2017,CITIBANK GOV CARD SERVICE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0489316,CITIBANK GOV CARD SERVICE,1/19/2017,1/20/2017,CAR RENTAL,182.47,2017,CITIBANK GOV CARD SERVICE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0481050,CITIBANK GOV CARD SERVICE,11/28/2016,11/29/2016,CAR RENTAL,130.14,2016,CITIBANK GOV CARD SERVICE
A000371,HON. PETE AGUILAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0483678,WEINSTEIN SARAH Q.,1/15/2017,1/22/2017,CAR RENTAL,240.88,2017,WEINSTEIN SARAH Q.
